DRI arrests Tardeo resident involved in ₹500-cr iPhone smuggling racket,www.hindustantimes.com,https://www.hindustantimes.com/cities/mumbai-news/dri-arrests-tardeo-resident-involved-in-500-cr-iphone-smuggling-racket-101670093084428.html,2022-12-06T08:00:00Z,sent
"Cocaine seizure in India increased 3,479 pc in 2021-22: DRI report",theprint.in,https://theprint.in/economy/cocaine-seizure-in-india-increased-3479-pc-in-2021-22-dri-report/1249254/,2022-12-05T08:00:00Z,sent
DRI Mumbai arrests Nigerian national with liquid cocaine worth Rs 20 crore,www.indiatoday.in,https://www.indiatoday.in/india/story/dri-mumbai-arrests-nigerian-national-with-liquid-cocaine-worth-crore-2301447-2022-11-25,2022-11-25T08:00:00Z,sent
"New tactical tools needed to check sale of drugs through dark net, social media, crypto",economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/india/new-tactical-tools-needed-to-check-sale-of-drugs-through-dark-net-social-media-crypto/articleshow/96006590.cms?from=mdr,2022-12-05T08:00:00Z,sent
DRI arrests Howrah man in ₹50-crore duty drawback scam,www.hindustantimes.com,https://www.hindustantimes.com/cities/mumbai-news/dri-arrests-howrah-man-in-50-crore-duty-drawback-scam-101667589018049.html,2022-11-05T07:00:00Z,sent
